supplier ID,printer,order completion time,material,category,resolution,Price (USD)
36736,Prusa Research Original Prusa i3 MK3,1,eSUN PLA+,ABS/PLA Filled,200,4.54
131479,Ultimaker 2+,2,Generic Standard PLA,ABS/PLA,100,4.55
56773,Tevo Black Widow,1,3DXTech Glass Fiber Reinforced PETG,PET,300,4.57
99783,DISCOEASY200,1,Generic Standard PLA,ABS/PLA,150,4.62
207575,3DR Delta,2,Generic Standard ABS,ABS/PLA,100,4.63
212899,Mark 1,2,Generic Standard PLA,ABS/PLA,200,4.63
vickys,M3D - The Micro,2,Generic Standard PLA,ABS/PLA,200,4.63
vickys,M3D - The Micro,2,Generic Standard PLA,ABS/PLA,200,4.63
siegeam,Original Prusa i3 MK2S,1,Generic Standard PETG,PET,200,4.64
siegeam,BigRep.ONE 3,2,Generic Standard PETG,PET,200,4.64
53652,CTC-3D,3,Generic Standard PLA,ABS/PLA,200,4.66
128808,Bukito,2,Generic Standard PLA,ABS/PLA,200,4.66
BSHub,Printrbot Simple Metal,2,Generic Standard PLA,ABS/PLA,200,4.66
greenlee,Wanhao Duplicator 6,1,Generic Standard PLA,ABS/PLA,300,4.66
106257,RepRap,4,Generic Standard PLA,ABS/PLA,300,4.7
57542,Prusa i3,3,Generic Standard ABS,ABS/PLA,200,4.71
204524,FabX3,2,Generic Standard PLA,ABS/PLA,200,4.71
207832,FlashForge Creator Pro,2,Generic Standard PLA,ABS/PLA,300,4.71
228225,Monoprice MP Select Mini,1,eSUN PLA,ABS/PLA Filled,300,4.77
90826,Lulzbot Taz 5,4,Generic Standard ABS,ABS/PLA,100,4.78
90826,Lulzbot Taz 5,4,Generic Standard PLA,ABS/PLA,100,4.78
108471,Ultimaker 2+,2,Generic Standard ABS,ABS/PLA,200,4.78
108471,Ultimaker 2+,2,Generic Standard PLA,ABS/PLA,200,4.78
146207,Prusa i3,1,Generic Standard PLA,ABS/PLA,200,4.78
146207,Prusa i3,1,Generic Standard ABS,ABS/PLA,200,4.78
169760,Discovery 200,3,Generic Standard PLA,ABS/PLA,300,4.78
169998,Original Prusa i3 MK2,4,Generic Standard PLA,ABS/PLA,200,4.78
184305,Ultimaker 3,4,rigid.ink PLA,ABS/PLA,200,4.78
226824,ANET 3D - A8,2,Generic Standard PLA,ABS/PLA,200,4.78
228316,Prusa i3,1,Generic Standard PLA,ABS/PLA,300,4.78
228316,Prusa i3,1,Generic Standard PLA,ABS/PLA,300,4.78
228316,Tronxy X5S,1,Generic Standard PLA,ABS/PLA,300,4.78
228316,Prusa Research Original Prusa i3 MK3,1,Generic Standard PLA,ABS/PLA,300,4.78
3dsolid,Tevo Little Monster,1,Generic Standard PLA,ABS/PLA,250,4.78
banjags3dprinting,Zonestar P802M,3,Generic Standard PLA,ABS/PLA,200,4.78
CoreXY,Tevo Tarantula,1,Generic Standard PLA,ABS/PLA,300,4.78
66974,Ultimaker Original,3,eSUN PLA+,ABS/PLA Filled,100,4.78
66974,Ultimaker Original,3,eSUN PLA+,ABS/PLA Filled,200,4.78
90826,Lulzbot Taz 5,4,Generic High-Impact Polystyrene (HIPS),ASA,100,4.78
146207,Prusa i3,1,Generic Standard PETG,PET,200,4.78
banjags3dprinting,Zonestar P802M,3,Generic Standard PETG,PET,300,4.78
36000,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,300,4.8
128808,Bukito,2,Generic Standard PLA,ABS/PLA,100,4.8
205281,MOD-T,2,Generic Standard PLA,ABS/PLA,400,4.8
211696,P3Steel (custom),2,Generic Standard PLA,ABS/PLA,300,4.8
