supplier ID,printer,order completion time,material,category,resolution,Price (USD)
111257,Custom Delta,5,Generic Standard ABS,ABS/PLA,250,9.5
111257,Custom Delta,5,Generic Standard ABS,ABS/PLA,200,9.5
111257,Custom Delta,5,Generic Standard PLA,ABS/PLA,200,9.5
111257,Custom Delta,6,Generic Standard ABS,ABS/PLA,250,9.5
111257,Custom Delta,6,Generic Standard ABS,ABS/PLA,200,9.5
111257,Custom Delta,6,Generic Standard ABS,ABS/PLA,175,9.5
111257,Custom Delta,6,Generic Standard PLA,ABS/PLA,300,9.5
111257,Custom Delta,6,Generic Standard PLA,ABS/PLA,200,9.5
139035,Ultimaker 2+,3,ColorFabb nGen,ABS/PLA,150,9.5
221804,ANET 3D - A8,2,Generic Standard PLA,ABS/PLA,200,9.5
connorshub,i3 HomeMade,2,Generic Standard PLA,ABS/PLA,100,9.5
OMSLICE3D,Original Prusa i3 MK2,1,Generic Standard PLA,ABS/PLA,100,9.5
139035,Ultimaker 2+,3,ColorFabb PLA/PHA,ABS/PLA Filled,50,9.5
Unseen,Zortrax M200,5,Zortrax Z-ABS,ABS/PLA Filled,100,9.5
174000,CraftBot PLUS,2,Generic Standard PETG,PET,100,9.5
204341,ANET 3D - A8,2,Generic TPU,TPE,200,9.5
129996,Lulzbot Taz 6,5,Generic Standard ABS,ABS/PLA,200,9.52
129996,Lulzbot Taz 6,5,Generic Standard PLA,ABS/PLA,200,9.52
222548,Original Prusa i3 MK2S,1,Generic Standard PLA,ABS/PLA,200,9.52
129996,Lulzbot Taz 6,5,Generic High-Impact Polystyrene (HIPS),ASA,200,9.52
145441,Tevo Little Monster,2,Generic Standard PETG,PET,200,9.52
184023,Fabtotum,3,Generic Standard PETG,PET,200,9.52
60577,Raise3D N1,5,Generic Standard PLA,ABS/PLA,300,9.54
136004,Creality Ender 2,2,ColorFabb PLA/PHA,ABS/PLA Filled,200,9.54
188303,Original Prusa i3 MK2,1,Generic Standard PETG,PET,100,9.54
184574,Afinibot A31,2,Generic Standard PLA,ABS/PLA,300,9.55
219678,Prusa Research Original Prusa i3 MK3,2,Generic Standard PLA,ABS/PLA,200,9.55
231747,MakerBot Replicator Z18,4,Generic Standard PLA,ABS/PLA,200,9.55
andersv209,Ultimaker 2 Aluminum - Custom,2,Generic Standard PLA,ABS/PLA,100,9.55
20445,Sparkcube XL,2,Generic Standard ABS,ABS/PLA,200,9.56
46334,Anycubic i3 mega,2,Generic Standard PLA,ABS/PLA,200,9.56
99206,D-Bot Core-XY ,2,Generic Standard PLA,ABS/PLA,100,9.56
146412,Da Vinci 2.0A duo ,1,Generic Standard ABS,ABS/PLA,100,9.56
181027,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,100,9.56
203204,Original Prusa i3 MK2,3,Generic Standard PLA,ABS/PLA,100,9.56
205139,ANET 3D - A8,2,Generic Standard PLA,ABS/PLA,100,9.56
207096,Prusa Steel,2,Generic Standard PLA,ABS/PLA,300,9.56
209429,Prusa i3 Hephestos (Custom),2,Generic Standard PLA,ABS/PLA,150,9.56
209429,Wanhao Duplicator i3 PLUS,2,Generic Standard PLA,ABS/PLA,150,9.56
209429,Wanhao Duplicator i3 PLUS,2,Generic Standard PLA,ABS/PLA,150,9.56
209429,Wanhao Duplicator i3 PLUS,2,Generic Standard PLA,ABS/PLA,150,9.56
209429,Wanhao Duplicator i3 PLUS,2,Generic Standard PLA,ABS/PLA,150,9.56
212630,Hello Bee Prusa,5,Generic Standard PLA,ABS/PLA,100,9.56
219526,ANET 3D - A8,1,Generic Standard PLA,ABS/PLA,300,9.56
223618,Original Prusa i3 MK2,2,Generic Standard PLA,ABS/PLA,100,9.56
231145,ANET 3D - A8,2,Generic Standard PLA,ABS/PLA,200,9.56
penrose-nice,Prusa i3x3 Custom,7,Generic Standard PLA,ABS/PLA,200,9.56
XYZed,Prusa i3,4,Generic Standard PLA,ABS/PLA,100,9.56
XYZed,Prusa Steel V4.0 (30 cm X 20 cm X 20 cm),4,Generic Standard PLA,ABS/PLA,100,9.56
34008,Ultimaker 2+,2,ColorFabb PLA/PHA,ABS/PLA Filled,250,9.56
229615,Original Prusa i3 MK2S,2,eSUN PLA,ABS/PLA Filled,300,9.56
3dsolid,Ultimaker 2+ Extended,1,ColorFabb bronzeFill,ABS/PLA Filled,200,9.56
3dsolid,Ultimaker 2+ Extended,1,Generic Woodfill PLA,ABS/PLA Filled,200,9.56
Kinamico,Zortrax M200,2,Zortrax Z-ABS,ABS/PLA Filled,300,9.56
VincentN,Zortrax M200,3,Zortrax Z-ABS,ABS/PLA Filled,100,9.56
99206,D-Bot Core-XY ,2,Generic Standard PETG,PET,100,9.56
41396,Rostock MAX,1,Generic Standard PLA,ABS/PLA,150,9.57
194355,Original Prusa i3 MK2,3,Generic Standard PLA,ABS/PLA,200,9.57
194355,Original Prusa i3 MK2,3,Generic Standard ABS,ABS/PLA,200,9.57
194355,Original Prusa i3 MK2,3,Generic High-Impact Polystyrene (HIPS),ASA,200,9.57
194355,Original Prusa i3 MK2,3,Generic Standard PETG,PET,200,9.57
hub-willem,Araknia Prusa i3,4,ColorFabb woodFill,ABS/PLA Filled,300,9.58
64597,Cubicon Single Plus,1,Generic Standard PLA,ABS/PLA,200,9.6
79206,Ultimaker 3,2,Generic Standard PLA,ABS/PLA,60,9.6
110887,Kossel XL,2,Generic Standard ABS,ABS/PLA,150,9.6
110887,Kossel XL,2,Generic Standard PLA,ABS/PLA,150,9.6
169860,Prusa i3,4,Generic Standard PLA,ABS/PLA,200,9.6
211696,P3Steel (custom),2,Generic Standard PLA,ABS/PLA,150,9.6
printer,FlashForge Dreamer,2,Generic Standard PLA,ABS/PLA,200,9.6
165572,Lulzbot Taz 5,2,eSUN PLA+,ABS/PLA Filled,300,9.6
165572,Lulzbot Taz 5,2,eSUN ABS+,ABS/PLA Filled,200,9.6
OMSLICE3D,Original Prusa i3 MK2,1,ColorFabb woodFill,ABS/PLA Filled,300,9.6
smoldy3d,Original Prusa i3 MK2,1,Generic Standard Nylon,Nylon,300,9.6
smoldy3d,Original Prusa i3 MK2,1,Taulman Nylon 645,Nylon,300,9.6
smoldy3d,Original Prusa i3 MK2,1,Taulman Alloy 910,Nylon,300,9.6
forged,FlashForge Creator Pro,1,Generic Standard PETG,PET,300,9.6
forged,Rostock MAX V2,2,Generic Standard PETG,PET,300,9.6
smoldy3d,Original Prusa i3 MK2,1,Generic Standard PETG,PET,300,9.6
smoldy3d,Original Prusa i3 MK2,1,Ninjatek Armadillo,TPE,300,9.6
smoldy3d,Original Prusa i3 MK2,1,Generic TPU,TPE,300,9.6
213700,Tevo Black Widow,5,Generic Standard PLA,ABS/PLA,150,9.61
213700,Tevo Black Widow,5,Generic Standard ABS,ABS/PLA,200,9.61
226611,Lulzbot Taz 5,2,Generic Standard ABS,ABS/PLA,100,9.61
226611,Lulzbot Taz 5,2,Generic Standard ABS,ABS/PLA,75,9.61
226611,Lulzbot Taz 5,2,Generic Standard ABS,ABS/PLA,175,9.61
226611,Lulzbot Taz 5,2,Generic Standard PLA,ABS/PLA,100,9.61
226611,Lulzbot Taz 5,2,Generic Standard PLA,ABS/PLA,200,9.61
kcproductions,UP Mini,2,Generic Standard PLA,ABS/PLA,200,9.61
kcproductions,UP Mini,2,Generic Standard ABS,ABS/PLA,200,9.61
mathias-hub,Da Vinci 1.0 PRO,2,Generic Standard ABS,ABS/PLA,200,9.61
kcproductions,FlashForge Creator Pro,2,ColorFabb PLA/PHA,ABS/PLA Filled,200,9.61
kcproductions,Prusa Research Original Prusa i3 MK3,2,ColorFabb PLA/PHA,ABS/PLA Filled,200,9.61
korneel,Ultimaker S5,3,ColorFabb XT,ABS/PLA Filled,200,9.61
mathias-hub,Da Vinci 1.0 PRO,2,eSUN ABS+,ABS/PLA Filled,200,9.61
97309,Other FDM,4,Generic Standard ABS,ABS/PLA,50,9.63
97309,Other FDM,4,Generic Standard PLA,ABS/PLA,50,9.63
165110,HyperCube,2,ColorFabb nGen,ABS/PLA,100,9.63
214470,Zortrax M200,1,Zortrax Z-Ultrat,ABS/PLA,300,9.64
216804,Ultimaker 2,2,Generic Standard PLA,ABS/PLA,200,9.64
216804,Ultimaker 2+,2,Generic Standard PLA,ABS/PLA,200,9.64
224147,Fusion3 F400-S,2,Generic Standard ABS,ABS/PLA,200,9.64
224147,Fusion3 F400-S,2,Generic Standard PLA,ABS/PLA,200,9.64
designedby36,Wanhao Duplicator i3 PLUS,2,Generic Standard PLA,ABS/PLA,200,9.64
214470,Zortrax M200,1,Generic High-Impact Polystyrene (HIPS),ASA,300,9.64
214470,Zortrax M200,1,Zortrax Z-Glass,PET,300,9.64
pkubier,Makergear M2,2,Generic Standard PETG,PET,200,9.64
130928,Wanhao Duplicator i3,7,Taulman Tech-G,PET,200,9.65
86899,BCN3D SIGMA,3,Formfutura FlexFil,Biofilaments,200,9.67
22777,Ultimaker 2,2,Innofil ABS,ABS/PLA,100,9.68
60577,Raise3D N1,5,Generic Standard PLA,ABS/PLA,200,9.68
146731,Ultimaker Original Plus,1,Generic Standard PLA,ABS/PLA,100,9.68
181833,Mankati Fullscale XT,4,Generic Standard PLA,ABS/PLA,300,9.68
226542,Ultimaker 3,2,Generic Standard PLA,ABS/PLA,250,9.68
aeropixel,Hephestos 2,1,Generic Standard PLA,ABS/PLA,300,9.68
22777,Ultimaker 2,2,ColorFabb PLA/PHA,ABS/PLA Filled,100,9.68
22777,Ultimaker 2,2,ColorFabb PLA/PHA,ABS/PLA Filled,100,9.68
22777,Ultimaker 2,2,ColorFabb PLA/PHA,ABS/PLA Filled,100,9.68
22777,Ultimaker 2+,2,ColorFabb PLA/PHA,ABS/PLA Filled,100,9.68
22777,Ultimaker 2+ Extended,2,ColorFabb PLA/PHA,ABS/PLA Filled,100,9.68
22777,Ultimaker 3,2,ColorFabb PLA/PHA,ABS/PLA Filled,150,9.68
191071,Original Prusa i3 MK2S,2,Generic Metalfill PLA,ABS/PLA Filled,200,9.68
108471,Ultimaker 2+,2,Generic Carbon filled Nylon,Nylon,150,9.68
89630,Creality CR-10,4,Generic Standard PETG,PET,200,9.68
belred3d,Prusa i3,2,Generic Standard PLA,ABS/PLA,100,9.7
laure,Prusa i3,3,Generic Standard PLA,ABS/PLA,200,9.7
laure,Prusa i3,3,Generic Standard PLA,ABS/PLA,150,9.7
laure,Prusa i3,3,Generic Standard PLA,ABS/PLA,300,9.7
laure,Prusa i3,3,Generic Standard ABS,ABS/PLA,200,9.7
laure,Prusa i3,3,Generic Standard ABS,ABS/PLA,150,9.7
laure,Prusa i3,3,Generic Standard ABS,ABS/PLA,300,9.7
110657,Ultimaker 3,1,ColorFabb PLA/PHA,ABS/PLA Filled,150,9.7
roughrider3d,Makerbot Replicator Original,2,Generic Standard Nylon,Nylon,200,9.7
Kris,Original Prusa i3 MK2S,2,Generic Standard PETG,PET,200,9.7
roughrider3d,Makerbot Replicator Original,2,Generic Standard PETG,PET,200,9.7
masee,Prusa i3,2,Generic Standard ASA,ASA,200,9.71
188303,Original Prusa i3 MK2,1,Generic Standard ABS,ABS/PLA,150,9.72
205940,Original Prusa i3 MK2,3,Generic Standard PLA,ABS/PLA,125,9.72
VincentN,Zortrax M200,3,Zortrax Z-HIPS,ASA,300,9.72
205940,Original Prusa i3 MK2S,3,Generic Standard PETG,PET,150,9.72
VincentN,Zortrax M200,3,Zortrax Z-Glass,PET,300,9.72
99206,D-Bot Core-XY ,2,Generic TPU,TPE,200,9.72
196358,Creality CR-10,2,Generic Standard PLA,ABS/PLA,200,9.73
196358,Flashforge Inventor ,2,Generic Standard PLA,ABS/PLA,200,9.73
cubiforminc,Fusion3 F306,4,ColorFabb PLA/PHA,ABS/PLA Filled,200,9.74
cubiforminc,Fusion3 F306,4,ColorFabb Glowfill,ABS/PLA Filled,200,9.74
cubiforminc,Fusion3 F400-S,4,ColorFabb Glowfill,ABS/PLA Filled,200,9.74
cubiforminc,Fusion3 F400-S,4,ColorFabb PLA/PHA,ABS/PLA Filled,200,9.74
delaware3dprinting,Lulzbot Taz 5,3,Generic Standard ABS,ABS/PLA,100,9.76
40814,Prusa i3,2,Generic Standard PLA,ABS/PLA,200,9.77
44154,RepRap,3,Generic Standard PLA,ABS/PLA,200,9.77
213751,Da Vinci 1.0 PRO,2,Generic Standard ABS,ABS/PLA,200,9.77
219678,Prusa Research Original Prusa i3 MK3,2,Generic Standard PLA,ABS/PLA,150,9.77
aaubry,Hello Bee Prusa,4,Generic Standard PLA,ABS/PLA,300,9.77
kcproductions,Da Vinci 1.0 PRO,2,Generic Standard PLA,ABS/PLA,200,9.77
kcproductions,Da Vinci 1.0 PRO,2,Generic Standard ABS,ABS/PLA,200,9.77
213700,Tevo Black Widow,5,Generic Standard PETG,PET,250,9.77
107533,Prusa i3 Hephestos,2,Generic Standard PLA,ABS/PLA,200,9.79
201013,Ultimaker 2 Extended,2,Generic Standard ABS,ABS/PLA,100,9.79
201013,Ultimaker 2 Extended,2,Generic Standard PLA,ABS/PLA,100,9.79
177696,Rostock MAX V2,2,Generic Standard ABS,ABS/PLA,200,9.8
201753,Raise3D N2 Plus,4,Generic Standard PLA,ABS/PLA,200,9.8
195garage,Makergear M2,5,Generic Standard PLA,ABS/PLA,200,9.8
195garage,Makergear M2,5,Generic Standard ABS,ABS/PLA,200,9.8
just3D,Cube 3,2,Generic Standard ABS,ABS/PLA,75,9.8
just3D,Cube 3,2,Generic Standard PLA,ABS/PLA,75,9.8
Unseen,Zortrax M200,5,Generic Standard ABS,ABS/PLA,100,9.8
231297,Original Prusa i3 MK2,3,Generic Standard PETG,PET,300,9.8
mattyams,Wanhao Duplicator i3 V2,2,Generic Standard PETG,PET,200,9.8
96517,Makergear M2,2,ColorFabb nGen,ABS/PLA,300,9.83
96517,Creality CR-10,2,ColorFabb nGen,ABS/PLA,300,9.83
jakshub,Other FDM,5,Generic Standard PLA,ABS/PLA,300,9.83
jakshub,Other FDM,5,Generic Standard PLA,ABS/PLA,200,9.83
Velocity3D,Original Prusa i3 MK2,3,Generic Standard PLA,ABS/PLA,200,9.83
145441,Tevo Little Monster,2,Generic Standard PETG,PET,100,9.83
appieshub,CraftBot PLUS,1,Generic Standard PLA,ABS/PLA,300,9.86
219270,FlashForge Creator Pro,4,Generic Standard ABS,ABS/PLA,200,9.88
genesis3dprinting,LulzBot Mini,5,Generic Standard PLA,ABS/PLA,150,9.88
186495,Original Prusa i3 MK2,1,Generic Standard PLA,ABS/PLA,200,9.89
209429,Prusa i3 Hephestos (Custom),2,Generic Standard PLA,ABS/PLA,100,9.89
209429,Wanhao Duplicator i3 PLUS,2,Generic Standard PLA,ABS/PLA,100,9.89
209429,Wanhao Duplicator i3 PLUS,2,Generic Standard PLA,ABS/PLA,100,9.89
209429,Wanhao Duplicator i3 PLUS,2,Generic Standard PLA,ABS/PLA,100,9.89
209429,Wanhao Duplicator i3 PLUS,2,Generic Standard PLA,ABS/PLA,100,9.89
FMG3D,RoBo 3D R1,2,Innofil PLA,ABS/PLA,100,9.89
64834,CraftBot,4,Generic Standard ABS,ABS/PLA,100,9.9
64834,CraftBot XL,4,Generic Standard ABS,ABS/PLA,100,9.9
108417,Lulzbot Taz 5,2,Generic Standard PLA,ABS/PLA,100,9.9
115641,FlashForge Creator,2,Generic Standard PLA,ABS/PLA,100,9.9
BruceMui,Prusa Research Original Prusa i3 MK3,2,eSUN ABS,ABS/PLA,200,9.9
25442,Ultimaker 2,3,Generic Standard PLA,ABS/PLA,150,9.91
25442,Ultimaker 2,3,Generic Standard ABS,ABS/PLA,150,9.91
74969,Prusa i3 Hephestos,2,Generic Standard PLA,ABS/PLA,150,9.91
97602,Smartrap,2,Generic Standard PLA,ABS/PLA,150,9.91
97602,Prusa i3,2,Generic Standard PLA,ABS/PLA,150,9.91
142414,Anycubic i3 mega,4,Generic Standard PLA,ABS/PLA,100,9.91
149913,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,200,9.91
198900,Original Prusa i3 MK2,2,Generic Standard PLA,ABS/PLA,200,9.91
218148,Original Prusa i3 MK2,1,Generic Standard PLA,ABS/PLA,200,9.91
digital-care,Overlord Pro,4,Generic Standard PLA,ABS/PLA,100,9.91
jancasl,Wanhao Duplicator i3,2,Generic Standard PLA,ABS/PLA,200,9.91
robert,Kossel XL,1,Generic Standard PLA,ABS/PLA,200,9.91
74969,Prusa i3 Hephestos,2,Generic Woodfill PLA,ABS/PLA Filled,200,9.91
98203,Felix Pro 2,2,Generic Polypropylene (PP),ASA,100,9.91
98203,Felix Pro 2,2,Generic Polypropylene (PP),ASA,200,9.91
98203,Prusa i3,2,Generic Standard ASA,ASA,200,9.91
74969,Prusa i3 Hephestos,2,Generic Standard PETG,PET,200,9.91
223618,Original Prusa i3 MK2,2,Generic Standard PETG,PET,200,9.91
XYZFAB,Createbot Max ,1,Generic TPU,TPE,150,9.91
XYZFAB,Createbot Max ,1,Generic TPU,TPE,150,9.91
XYZFAB,Createbot Max ,1,Generic TPU,TPE,150,9.91
20361,RigidBot Big,3,Generic Standard PLA,ABS/PLA,150,9.92
215834,ANET 3D - A8,7,Generic Standard PLA,ABS/PLA,200,9.92
215834,PowerSpec 3D Pro,5,Generic Standard PLA,ABS/PLA,200,9.92
213700,Tevo Black Widow,5,Generic Standard PLA,ABS/PLA,100,9.93
213700,Tevo Black Widow,5,Generic Standard ABS,ABS/PLA,150,9.93
kcproductions,FlashForge Creator Pro,2,eSUN ABS,ABS/PLA,200,9.93
207216,Ultimaker 3,2,Ultimaker CPE,ABS/PLA Filled,200,9.93
62214,Createbot Mid,2,Generic Standard PLA,ABS/PLA,200,9.94
104663,Original Prusa i3 MK2,4,Generic Standard PLA,ABS/PLA,200,9.96
130196,Prusa i3 Hephestos (Custom),2,Generic Standard PLA,ABS/PLA,200,9.96
217041,Original Prusa i3 MK2,3,Generic Standard PLA,ABS/PLA,200,9.96
204524,Ultimaker 3,2,Generic Standard ABS,ABS/PLA,200,9.97
JayJ,Prusa Research Original Prusa i3 MK3,3,Generic Standard PLA,ABS/PLA,100,9.98
4013,Morgan Pro 2,2,Generic Standard PLA,ABS/PLA,200,10
4013,Morgan Pro 2,2,Generic Standard PLA,ABS/PLA,300,10
54118,Ultimaker 3,2,Generic Standard PLA,ABS/PLA,100,10
54118,Ultimaker 3,2,Generic Standard PLA,ABS/PLA,200,10
70784,Makerbot Replicator 5th Gen,2,Makerbot Tough PLA,ABS/PLA,200,10
70784,Makerbot Replicator 5th Gen,2,Makerbot Tough PLA,ABS/PLA,100,10
70784,Makerbot Replicator 5th Gen,2,Makerbot Tough PLA,ABS/PLA,300,10
71804,Lulzbot Taz 5,2,Generic Standard PLA,ABS/PLA,300,10
71804,Lulzbot Taz 5,2,Generic Standard PLA,ABS/PLA,200,10
71804,LulzBot Mini,2,Generic Standard PLA,ABS/PLA,200,10
71804,LulzBot Mini,2,Generic Standard PLA,ABS/PLA,300,10
101126,Original Prusa i3 MK2S,2,Generic Standard ABS,ABS/PLA,200,10
101126,Original Prusa i3 MK2S,2,Generic Standard ABS,ABS/PLA,150,10
101126,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,200,10
101126,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,150,10
101126,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,100,10
101126,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,50,10
101126,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,200,10
101126,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,200,10
101126,Formbot Raptor,2,Generic Standard PLA,ABS/PLA,200,10
101126,Felix Pro 2,2,Generic Standard ABS,ABS/PLA,200,10
101126,Felix Pro 2,2,Generic Standard ABS,ABS/PLA,150,10
101126,Felix Pro 2,2,Generic Standard PLA,ABS/PLA,200,10
101126,Felix Pro 2,2,Generic Standard PLA,ABS/PLA,150,10
101126,Felix Pro 2,2,Generic Standard PLA,ABS/PLA,100,10
101126,Felix Pro 2,2,Generic Standard PLA,ABS/PLA,50,10
211696,P3Steel (custom),2,Generic Standard ABS,ABS/PLA,200,10
213002,Makerbot Replicator 2,2,Generic Standard PLA,ABS/PLA,100,10
213002,Robo 3D R1 +Plus,2,Generic Standard ABS,ABS/PLA,100,10
213002,Robo 3D R1 +Plus,2,Generic Standard PLA,ABS/PLA,100,10
3dprintpe,BCN3D SIGMA,2,Generic Standard PLA,ABS/PLA,100,10
3dprintpe,BCN3D SIGMA,2,Generic Standard PLA,ABS/PLA,150,10
bg3d,Ultimaker Original Plus,3,Generic Standard PLA,ABS/PLA,200,10
bg3d,Ultimaker Original Plus,3,Generic Standard PLA,ABS/PLA,125,10
brian,Original Prusa i3 MK2,2,Generic Standard PLA,ABS/PLA,200,10
brian,Original Prusa i3 MK2,2,Generic Standard PLA,ABS/PLA,100,10
waters3d,Creality CR-10,2,Generic Standard PLA,ABS/PLA,200,10
bg3d,Ultimaker Original Plus,3,ColorFabb PLA/PHA,ABS/PLA Filled,200,10
bg3d,Ultimaker Original Plus,3,ColorFabb PLA/PHA,ABS/PLA Filled,125,10
joseph,JoeBot18x3,3,eSUN AluFill,ABS/PLA Filled,200,10
4013,Morgan Pro 2,2,Generic Standard PETG,PET,200,10
4013,Morgan Pro 2,2,Generic Standard PETG,PET,300,10
101126,Original Prusa i3 MK2S,2,Generic Standard PETG,PET,200,10
101126,Original Prusa i3 MK2S,2,Generic Standard PETG,PET,150,10
101126,Felix Pro 2,2,Generic Standard PETG,PET,200,10
101126,Felix Pro 2,2,Generic Standard PETG,PET,150,10
197785,Wanhao Duplicator i3 PLUS,3,Generic Standard PLA,ABS/PLA,200,10.01
219967,Creality CR-10,2,Generic Standard PLA,ABS/PLA,200,10.01
roderick,FlashForge Finder,2,Generic Standard PLA,ABS/PLA,200,10.01
wayneukmakerbotlondon,Makerbot Replicator 5th Gen,1,Generic Standard PLA,ABS/PLA,200,10.01
Bham,Prusa Research Original Prusa i3 MK3,2,Generic Standard PETG,PET,200,10.01
172980,RoBo 3D R1,2,Generic Standard PLA,ABS/PLA,200,10.02
222914,Core XY printer,2,Generic Standard PLA,ABS/PLA,100,10.02
cubiforminc,Fusion3 F306,4,Generic Standard ABS,ABS/PLA,200,10.02
cubiforminc,Fusion3 F400-S,4,Generic Standard ABS,ABS/PLA,200,10.02
forged,Rostock MAX V2,2,Generic Standard ABS,ABS/PLA,250,10.02
shen,Zortrax M200,1,Zortrax Z-Ultrat,ABS/PLA,200,10.02
shen,Zortrax M200,1,Zortrax Z-PLA Pro,ABS/PLA Filled,200,10.02
forged,FlashForge Creator Pro,1,Generic High-Impact Polystyrene (HIPS),ASA,250,10.02
forged,Rostock MAX V2,2,Generic High-Impact Polystyrene (HIPS),ASA,250,10.02
shen,Zortrax M200,1,Zortrax Z-HIPS,ASA,200,10.02
shen,Zortrax M200,1,Zortrax Z-PCABS,PC,200,10.02
shen,Zortrax M200,1,Zortrax Z-Glass,PET,200,10.02
shen,Zortrax M200,1,Zortrax Z-PETG,PET,200,10.02
93285,RigidBot,2,Generic Standard PLA,ABS/PLA,100,10.03
95811,Printrbot Simple Metal,2,Generic Standard PLA,ABS/PLA,200,10.03
228379,Prusa Research Original Prusa i3 MK3,2,Stratasys ABSplus,ABS/PLA,200,10.03
228379,Prusa Research Original Prusa i3 MK3,2,Generic Standard ABS,ABS/PLA,200,10.03
228379,Prusa Research Original Prusa i3 MK3,2,Generic Standard PLA,ABS/PLA,100,10.03
187979,Original Prusa i3 MK2,4,Formfutura FlexFil,Biofilaments,100,10.03
90826,Lulzbot Taz 5,4,Taulman T-Glase,PET,100,10.03
76273,Rostock MAX,2,Generic Standard ABS,ABS/PLA,150,10.05
191411,Original Prusa i3 MK2,5,Generic Standard PLA,ABS/PLA,200,10.05
rshshub,Ultimaker 3,2,Generic Standard PLA,ABS/PLA,150,10.05
99206,D-Bot Core-XY ,2,Generic TPU,TPE,150,10.05
31786,FlashForge Creator,4,Generic Standard PLA,ABS/PLA,200,10.06
FMG3D,RoBo 3D R1,2,Innofil ABS,ABS/PLA,200,10.07
siegeam,Original Prusa i3 MK2S,1,Generic Standard ABS,ABS/PLA,200,10.08
208711,Original Prusa i3 MK2,2,Generic Standard PLA,ABS/PLA,200,10.09
219678,Prusa Research Original Prusa i3 MK3,2,Generic Standard PLA,ABS/PLA,100,10.09
228056,Anycubic - Delta Rostock linear,1,Generic Standard PLA,ABS/PLA,200,10.09
korneel,Ultimaker S5,3,ColorFabb nGen,ABS/PLA,200,10.09
208711,Original Prusa i3 MK2,2,eSUN PLA+,ABS/PLA Filled,200,10.09
korneel,Ultimaker S5,3,Ultimaker CPE,ABS/PLA Filled,200,10.09
korneel,Ultimaker S5,3,ColorFabb PLA/PHA,ABS/PLA Filled,200,10.09
shen,Zortrax M200,1,Zortrax Z-ABS,ABS/PLA Filled,100,10.09
213700,Tevo Black Widow,5,Generic Standard PETG,PET,200,10.09
morlock,Printrbot Simple Metal,3,Generic Standard PLA,ABS/PLA,200,10.1
195935,Original Prusa i3 MK2,2,Generic Standard PLA,ABS/PLA,200,10.12
20361,RigidBot Big,3,Generic Standard ABS,ABS/PLA,200,10.14
94968,Prusa i3,3,Generic Standard PLA,ABS/PLA,150,10.14
209724,Raise3D N2,2,Generic Standard ABS,ABS/PLA,200,10.14
224921,Da Vinci 1.0,3,Generic Standard ABS,ABS/PLA,100,10.14
224921,Da Vinci 1.0,3,Generic Standard ABS,ABS/PLA,200,10.14
94968,Prusa i3,3,Generic Standard PETG,PET,200,10.14
231747,MakerBot Replicator Z18,4,Generic Standard ABS,ABS/PLA,200,10.15
virtualfrontier,Kossel,2,Generic Standard ABS,ABS/PLA,200,10.15
virtualfrontier,Kossel,2,Generic Standard PLA,ABS/PLA,200,10.15
virtualfrontier,Micromake D1,2,Generic Standard ABS,ABS/PLA,200,10.15
virtualfrontier,Micromake D1,2,Generic Standard PLA,ABS/PLA,200,10.15
24991,Cetus,2,Generic Standard PLA,ABS/PLA,400,10.16
24991,Cetus,2,Generic Standard PLA,ABS/PLA,300,10.16
24991,Cetus,2,Generic Standard PLA,ABS/PLA,200,10.16
24991,Cetus Extended,2,Generic Standard PLA,ABS/PLA,400,10.16
24991,Cetus Extended,2,Generic Standard PLA,ABS/PLA,300,10.16
24991,Cetus Extended,2,Generic Standard PLA,ABS/PLA,200,10.16
229885,Cetus,2,Generic Standard PLA,ABS/PLA,400,10.16
229885,Cetus,2,Generic Standard PLA,ABS/PLA,300,10.16
229885,Cetus,2,Generic Standard PLA,ABS/PLA,200,10.16
229885,Makerbot Mini,2,Generic Standard PLA,ABS/PLA,400,10.16
229885,Makerbot Mini,2,Generic Standard PLA,ABS/PLA,300,10.16
229885,Makerbot Mini,2,Generic Standard PLA,ABS/PLA,200,10.16
stefanshub,CraftBot,2,Generic Standard PLA,ABS/PLA,300,10.16
222249,Original Prusa i3 MK2,1,Generic Standard PLA,ABS/PLA,150,10.17
222249,Prusa Research Original Prusa i3 MK3,1,rigid.ink PLA,ABS/PLA,150,10.17
111820,Original Prusa i3 MK2S,3,Generic Standard PLA,ABS/PLA,300,10.19
136004,Creality Ender 2,2,ColorFabb PLA/PHA,ABS/PLA Filled,150,10.19
29834,BigBox Pro,2,Formfutura TitanX,ABS/PLA,200,10.2
29834,BigBox Pro,2,Generic Standard PLA,ABS/PLA,150,10.2
31786,FlashForge Creator,4,Generic Standard ABS,ABS/PLA,300,10.2
36000,Original Prusa i3 MK2S,2,Generic Standard PLA,ABS/PLA,150,10.2
95317,Wanhao Duplicator 6,2,Generic Standard PLA,ABS/PLA,100,10.2
95317,Makergear M2,2,Generic Standard PLA,ABS/PLA,100,10.2
